SOrg,Plnt,Name_1,SLoc,Description,Material,Material_Description,Profl,Serial_Number,PP,Equipment,Pstng_Date,Total,Serials,BUn,key_plant,key_material
3000,3090,Hilti TS Mexico,101,3090-0101,211899,Angle grinder DAG 450-D 120V,Z001,26671,1,300036412962,2012-08-14,0,1,PC,3090/211899,3000/211899
3000,3090,Hilti TS Mexico,101,3090-0101,228085,Rotary hammer TE 2 120V case,Z001,1165461,1,300041633377,2013-04-03,0,1,PC,3090/228085,3000/228085
3000,3090,Hilti TS Mexico,101,3090-0101,272441,Battery charger C 4/36-ACS Li-Ion 115V,Z001,8017456,1,300042438244,2013-02-22,0,1,PC,3090/272441,3000/272441
3000,3090,Hilti TS Mexico,101,3090-0101,331449,Line laser PML 32-R kit,Z001,14107037.,1,300022912945,2008-02-14,0,1,PC,3090/331449,3000/331449
3000,3090,Hilti TS Mexico,101,3090-0101,336769,Rotary hammer TE 2-M 115V case,Z001,49719,1,300023897079,2008-04-29,0,1,PC,3090/336769,3000/336769
3000,3090,Hilti TS Mexico,101,3090-0101,370102,Battery pack SFB 185,Z001,7613023669647,1,300055772982,2015-12-08,0,1,PC,3090/370102,3000/370102
3000,3090,Hilti TS Mexico,101,3090-0101,378266,Cordl. drill XBT 4000-A,Z001,9410,1,300055772981,2015-12-08,0,1,PC,3090/378266,3000/378266
3000,3090,Hilti TS Mexico,101,3090-0101,378449,Battery charger C 7/24 115V,Z001,C253078,1,300057837086,2016-03-29,0,2,PC,3090/378449,3000/378449
3000,3090,Hilti TS Mexico,101,3090-0101,378449,Battery charger C 7/24 115V,Z001,C253114,1,300055772978,2015-12-08,0,2,PC,3090/378449,3000/378449
3000,3090,Hilti TS Mexico,101,3090-0101,387980,Gas-actuated tool GX 100,Z001,94261,1,300023980092,2010-01-29,0,1,PC,3090/387980,3000/387980
3000,3090,Hilti TS Mexico,101,3090-0101,426117,Cordl. lamp SFL 22-A box,Z001,1037563,1,300053416114,2017-04-27,0,1,PC,3090/426117,3000/426117
3000,3090,Hilti TS Mexico,101,3090-0101,426177,Battery pack B 22/1.6 Li-Ion,Z001,4219722,1,300051557290,2014-11-19,0,2,PC,3090/426177,3000/426177
3000,3090,Hilti TS Mexico,101,3090-0101,426177,Battery pack B 22/1.6 Li-Ion,Z001,4317504,1,300056015480,2017-04-27,0,2,PC,3090/426177,3000/426177
3000,3090,Hilti TS Mexico,101,3090-0101,2004075,Cordl. angle grinder AG 125-A22 case,Z001,82845,1,300043173138,2013-11-28,0,1,PC,3090/2004075,3000/2004075
3000,3090,Hilti TS Mexico,101,3090-0101,2007431,Battery pack B 22/3.3 Li-Ion,Z001,8878357,1,300057899273,2016-01-15,0,1,PC,3090/2007431,3000/2007431
