Material,Material_Description,SLoc,SL,Plnt,BUn,Unrestricted,Transit_Transf,Blocked,In_Qual_Insp,Restricted_Use,Returns,Stk_in_Transit,Sorg,key_material
1953,Drill bit extension TE-FY-E60,1,nan,3000,PC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,3000/1953
1954,Drill bit extension TE-FY-E85,1,nan,3000,PC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,3000/1954
1954,Drill bit extension TE-FY-E85,1,nan,8750,PC,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8750,8750/1954
3730,Piston ring,1,nan,3000,PC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,3000/3730
7743,Marking character X-MC S 8/10 0-9,1,nan,3000,PC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,3000/7743
24631,Cleaner CFR1 500ML,1,nan,3000,PC,5.0,0.0,50.0,0.0,0.0,0.0,0.0,3000,3000/24631
24669,Dispenser CS 270-P1,1,nan,3000,PC,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,3000/24669
24669,Dispenser CS 270-P1,1,nan,3002,PC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,3000/24669
24669,Dispenser CS 270-P1,1,nan,3022,PC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,3000/24669
