Region|Plnt|PGr|Descriptn|Reservno|Itm|Material|Material_Description|Base_date|Orig_Date|ReqmtsDate|Confirmed|Ship_Code|Descript|ItCa|Reqmnt_qty|Status|Reference|Diff_Days|Ext_OrdNo|Ext_OrdPo|Created_on|ActMatAvDt|Conf_Qty|Conf_Date|Ship_to|Plnt1|Pur_Doc|Item|Quantity|AlrtExists|DDNP|DSLU|DDGT|NOC|WRGT|AlrtSum|Goods_Supp|Name|Customer|MRPCD|Name1|MRPCS|Name2|D797_uCnt|D797_date|CommentBU|CommentMO|key_plant
0|8650|L04|0|13453672|2|2156393|Steel nail X-S 14 B3 MX BULK|2024-08-08|2024-10-09|2024-11-06|X|3|Sea|ZTLA|54000.0|C|D453672002|28|56344264|70|2024-08-08|10.09.2024|54.000,000|2024-11-06|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L04|0|0|0|0||0|0|8650/2156393
0|8750|L05|0|13453671|2|2411672|Dust extractor VC 40MX 220-240V|2024-08-08|2024-10-18|2024-12-13|X|3|Sea|ZTLS|4.0|C|D453671002|56|56367486|10|2024-09-02|10.10.2024|4,000|2024-11-15|HAR8750|560|0|0|0.0|0|0|0|0|0|0|0|0|0|5211|L05|0|0|0|1|2024-09-12|0|0|8750/2411672
0|8650|L09|0|13453642|1|2184686|"Hammer drill bit TE-YX 5/8""-21"""|2024-08-07|2024-08-21|2024-11-20|X|8|Air|ZTLA|30.0|C|D453642001|91|56344827|10|2024-08-08|11.11.2024|30,000|2024-11-20|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L09|0|0|0|0||0|0|8650/2184686
0|8650|L09|0|13453313|23|435006|"Hammer drill bit TE-CX 3/8""-6"""|2024-08-07|2024-11-20|2024-11-06|X|3|Sea|ZTLA|540.0|C|D453313023|-14|56344115|130|2024-08-07|10.09.2024|540,000|2024-11-20|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L09|0|0|0|0||0|0|8650/435006
0|8650|L09|0|13453313|6|2224253|Hammer drill bit  TE-C 12/16|2024-08-07|2024-11-20|2024-11-20|X|3|Sea|ZTLA|60.0|C|D453313006|0|56344115|170|2024-08-08|24.09.2024|60,000|2024-11-20|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L09|0|0|0|0||0|0|8650/2224253
0|8650|L09|0|13453313|13|2241985|Pointed chisel TE-YX SM 70|2024-08-07|2024-11-20|2024-11-20|X|3|Sea|ZTLA|90.0|C|D453313013|0|56344115|60|2024-08-07|24.09.2024|90,000|2024-11-20|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L09|0|0|0|0||0|0|8650/2241985
0|8650|L08|0|13453313|2|2122713|Rotary hammer TE 3-ML 220V case|2024-08-07|2024-11-20|2024-11-20|X|3|Sea|ZTLS|12.0|C|D453313002|0|56344116|10|2024-08-07|25.09.2024|12,000|2025-01-02|HCL8650|564|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L08|0|0|0|0||0|0|8650/2122713
0|8650|L09|0|13453313|26|2165916|"Hammer drill bit TE-YX 1 1/4""-23"""|2024-08-07|2024-11-20|2024-11-20|X|3|Sea|ZTLA|10.0|C|D453313026|0|56344115|150|2024-08-07|24.09.2024|10,000|2024-11-20|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L09|0|0|0|0||0|0|8650/2165916
0|8650|L15|0|13453313|5|2253115|Cordl. combihammer TE 30-22 case|2024-08-07|2024-11-20|2024-11-20|X|3|Sea|ZTLA|7.0|C|D453313005|0|56344115|30|2024-08-07|24.09.2024|7,000|2024-11-20|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L15|0|0|0|0||0|0|8650/2253115
0|8650|L09|0|13453313|21|2179711|Recip. saw blade SP 15 10 (5) metal|2024-08-07|2024-11-20|2024-11-20|X|3|Sea|ZTLA|280.0|C|D453313021|0|56344115|110|2024-08-07|24.09.2024|280,000|2024-11-20|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L09|0|0|0|0||0|0|8650/2179711
0|8650|L09|0|13453313|10|2150737|Cutting disc AC-D SP 230x2.5|2024-08-07|2024-11-20|2024-11-20|X|3|Sea|ZTLA|1500.0|C|D453313010|0|56344115|180|2024-08-08|24.09.2024|1.500,000|2024-11-20|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L09|0|0|0|0||0|0|8650/2150737
0|8650|L09|0|13453313|20|2165913|"Hammer drill bit TE-YX 1 1/8""-21"""|2024-08-07|2024-11-20|2024-11-20|X|3|Sea|ZTLA|11.0|C|D453313020|0|56344115|100|2024-08-07|24.09.2024|11,000|2024-11-20|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L09|0|0|0|0||0|0|8650/2165913
0|8650|L09|0|13453313|7|2207190|Scaling chisel TE-YX SC 36/5|2024-08-07|2024-11-20|2024-11-20|X|3|Sea|ZTLA|20.0|C|D453313007|0|56344115|40|2024-08-07|24.09.2024|20,000|2024-11-20|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L09|0|0|0|0||0|0|8650/2207190
0|8650|L09|0|13453313|16|2241984|Pointed chisel TE-YX SM 50|2024-08-07|2024-11-20|2024-11-20|X|3|Sea|ZTLA|120.0|C|D453313016|0|56344115|80|2024-08-07|24.09.2024|120,000|2024-11-20|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L09|0|0|0|0||0|0|8650/2241984
0|8650|L15|0|13453313|14|2250110|Cordl. riveting tool RT 6-22 case|2024-08-07|2024-11-20|2024-11-20|X|3|Sea|ZTLS|1.0|C|D453313014|0|56344116|30|2024-08-07|25.09.2024|1,000|2024-11-20|HCL8650|564|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L15|0|0|0|0||0|0|8650/2250110
0|8650|L09|0|13453313|3|2341071|"Hammer drill bit TE-C 5/8""-12"""|2024-08-07|2024-11-20|2024-11-06|X|3|Sea|ZTLA|50.0|C|D453313003|-14|56344115|190|2024-08-08|10.09.2024|50,000|2024-11-06|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L09|0|0|0|1|2024-08-23|0|0|8650/2341071
0|8650|L09|0|13453313|11|2341250|Pointed chisel TE-SX SM 70|2024-08-07|2024-11-20|2024-11-20|X|3|Sea|ZTLA|25.0|C|D453313011|0|56344115|50|2024-08-07|24.09.2024|25,000|2024-11-20|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L09|0|0|0|0||0|0|8650/2341250
0|3070|U26|0|13452771|28|345083|Electronics 100V-120V packed|2024-08-07|2024-08-23|2024-10-01|X|8|Air|TAN|4.0|C|D452771028|39|56344272|50|2024-08-07|13.09.2024|4,000|2024-09-30|HMX3070|6600|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|U26|0|0|0|1|2024-08-30|0|0|3070/345083
0|3070|U26|0|13452770|2|76654|Pressure piece|2024-08-07|2024-08-23|2024-10-01|X|8|Air|TAN|4.0|C|D452770002|39|56344270|10|2024-08-07|13.09.2024|4,000|2024-10-02|HMX3070|6600|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|U26|0|0|0|4|2024-08-30|0|0|3070/76654
0|3070|U26|0|13452770|90|2214741|Adapter Motor assy|2024-08-07|2024-08-23|2024-08-27|X|8|Air|TAN|4.0|C|D452770090|4|56344268|520|2024-08-07|12.08.2024|4,000|2024-09-02|HMX3070|6600|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|U26|0|0|0|0||0|0|3070/2214741
0|3070|U26|0|13452770|23|328587|Retaining ring SW 22|2024-08-07|2024-08-23|2024-10-01|X|8|Air|TAN|9.0|C|D452770023|39|56344268|140|2024-08-07|13.09.2024|9,000|2024-10-02|HMX3070|6600|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|SMP|0|0|0|4|2024-08-30|0|0|3070/328587
0|8650|L05|0|13452681|2|2261680|Core bit B 42/430 P-U abras|2024-08-07|2024-11-20|2024-12-04|X|3|Sea|ZTLA|13.0|C|D452681002|14|56343458|20|2024-08-07|24.09.2024|13,000|2024-11-20|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L05|0|0|0|1|2024-09-11|0|0|8650/2261680
0|3000|L01|0|13452345|1|2234720|"Adhesive capsule HVU2 3/8"" x 3 1/2"""|2024-08-07|2024-11-08|2024-11-08|X|3|Sea|ZTLA|380.0|C|D452345001|0|56343987|10|2024-08-07|05.09.2024|380,000|2024-11-08|HMX3000|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L01|0|0|0|0||0|0|3000/2234720
0|3000|L05|0|13452319|1|2261459|Core bit B 37/430 P-U abras|2024-08-07|2024-11-08|2024-11-22|X|3|Sea|ZTLA|16.0|C|D452319001|14|56343456|10|2024-08-07|19.09.2024|16,000|2024-11-22|HMX3000|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L05|0|0|0|2|2024-09-12|0|0|3000/2261459
0|8770|U26|0|13451621|1|423081|Ball bearing set|2024-08-06|2024-09-05|2024-09-26|X|8|Air|TAN|3.0|C|D451621001|21|56342925|10|2024-08-06|30.08.2024|3,000|2024-09-26|HAR8770|6600|0|0|0.0|0|0|0|0|0|0|0|0|0|5211|U26|0|0|0|1|2024-08-21|0|0|8770/423081
0|8770|U26|0|13451621|15|3747|Feather key|2024-08-06|2024-09-05|2024-10-10|X|8|Air|TAN|1.0|C|D451621015|35|56342927|30|2024-08-06|16.09.2024|1,000|2024-10-10|HAR8770|6600|0|0|0.0|0|0|0|0|0|0|0|0|0|5211|U26|0|0|0|1|2024-08-08|0|0|8770/3747
0|3000|L05|0|13451615|4|2261694|Core bit B 152/430 P-U abras|2024-08-07|2024-10-11|2024-11-22|X|3|Sea|ZTLA|6.0|C|D451615004|42|56343075|10|2024-08-07|19.09.2024|6,000|2024-10-25|HMX3000|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L05|0|0|0|3|2024-09-04|0|0|3000/2261694
0|8750|L02|0|13451534|3|2105859|Stud anchor HST3 M16x145 45/25|2024-08-06|2024-10-18|2024-11-15|X|3|Sea|ZTLA|288.0|C|D451534003|28|56342902|20|2024-08-06|11.09.2024|288,000|2024-11-15|HAR8750|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5211|L02|0|0|0|0||0|0|8750/2105859
0|8330|L01|0|13451531|1|385464|"Anchor rod HAS-R 304 SS 1/2""x6-1/2"""|2024-08-06|2024-10-16|2024-10-16|X|3|Sea|TAN|60.0|C|D451531001|0|56342898|10|2024-08-06|29.08.2024|60,000|2024-10-16|HBR8330|6000|0|0|0.0|0|0|0|0|0|0|0|0|0|5221|L01|0|0|0|1|2024-08-26|0|0|8330/385464
0|8650|L05|0|13451458|2|2305536|"Core bit BT-F 1""/12"" SPX-L"|2024-08-06|2024-08-21|2024-09-25|X|8|Air|ZTLA|5.0|C|D451458002|35|56344048|20|2024-08-07|16.09.2024|5,000|2024-09-23|HCL8650|550|0|0|0.0|0|0|0|0|0|0|0|0|0|5241|L05|0|0|0|1|2024-08-30|0|0|8650/2305536
0|3000|L01|0|13451425|3|385468|"Anchor rod HAS-R 304 SS 5/8""x10"""|2024-08-06|2024-09-19|2024-09-30|X|2|Truck|ZTLA|60.0|C|D451425003|11|56342758|30|2024-08-06|11.09.2024|60,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L01|0|0|0|1|2024-09-03|0|0|3000/385468
0|3000|L01|0|13451425|2|385462|"Anchor rod HAS-R 304 SS 3/8""x5-1/8"""|2024-08-06|2024-10-02|2024-10-15|X|2|Truck|ZTLA|200.0|C|D451425002|13|56342758|20|2024-08-06|26.09.2024|200,000|2024-10-15|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L01|0|0|0|0||0|0|3000/385462
0|3000|L02|0|13451425|8|2210273|Ultimate exp anc KB-TZ2 5/8x6|2024-08-06|2024-09-19|2024-09-30|X|2|Truck|ZTLA|1440.0|C|D451425008|11|56342758|80|2024-08-06|11.09.2024|1.440,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L02|0|0|0|0||0|0|3000/2210273
0|3000|L02|0|13451425|6|2231456|Premium exp anc KB1 3/8x3 3/4|2024-08-06|2024-10-02|2024-10-15|X|2|Truck|ZTLA|6400.0|C|D451425006|13|56342758|60|2024-08-06|26.09.2024|6.400,000|2024-10-15|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L02|0|0|0|0||0|0|3000/2231456
0|3000|L02|0|13451425|4|2231468|Premium exp anc KB1 3/4x7|2024-08-06|2024-10-02|2024-10-15|X|2|Truck|ZTLA|2880.0|C|D451425004|13|56342758|40|2024-08-06|26.09.2024|2.880,000|2024-10-15|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L02|0|0|0|0||0|0|3000/2231468
0|3000|L02|0|13451425|9|2210256|Ultimate exp anc KB-TZ2 1/2x5 1/2|2024-08-06|2024-09-19|2024-09-30|X|2|Truck|ZTLA|1920.0|C|D451425009|11|56342758|90|2024-08-06|11.09.2024|1.920,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L02|0|0|0|1|2024-09-05|0|0|3000/2210256
0|3000|L02|0|13451425|10|2210256|Ultimate exp anc KB-TZ2 1/2x5 1/2|2024-08-06|2024-09-19|2024-09-30|X|2|Truck|ZTLA|3840.0|C|D451425010|11|56342758|100|2024-08-06|11.09.2024|3.840,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L02|0|0|0|2|2024-09-05|0|0|3000/2210256
0|3000|L02|0|13451425|7|2210256|Ultimate exp anc KB-TZ2 1/2x5 1/2|2024-08-06|2024-09-19|2024-09-30|X|2|Truck|ZTLA|3840.0|C|D451425007|11|56342758|70|2024-08-06|11.09.2024|3.840,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L02|0|0|0|1|2024-08-20|0|0|3000/2210256
0|3000|L02|0|13451425|12|2210173|Ultimate exp anc KB-TZ2 1/4x2 1/8|2024-08-06|2024-10-02|2024-10-15|X|2|Truck|ZTLA|2400.0|C|D451425012|13|56342758|120|2024-08-06|26.09.2024|19.200,000|2024-10-02|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L02|0|0|0|1|2024-08-07|0|0|3000/2210173
0|3000|L04|0|13451425|1|2141084|Universal nail X-U 19 P8|2024-08-06|2024-09-19|2024-09-30|X|2|Truck|ZTLA|6000.0|C|D451425001|11|56342758|10|2024-08-06|11.09.2024|6.000,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L04|0|0|0|0||0|0|3000/2141084
0|3000|L04|0|13451424|12|2141181|Universal nail X-U 52 P8|2024-08-06|2024-09-19|2024-09-30|X|2|Truck|ZTLA|6000.0|C|D451424012|11|56342757|120|2024-08-06|11.09.2024|6.000,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L04|0|0|0|0||0|0|3000/2141181
0|3000|L01|0|13451424|7|2197985|"Anchor rod HAS-E-55 3/8""x4-3/8"""|2024-08-06|2024-09-19|2024-09-30|X|2|Truck|ZTLA|480.0|C|D451424007|11|56342757|70|2024-08-06|11.09.2024|480,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L01|0|0|0|0||0|0|3000/2197985
0|3000|L01|0|13451424|5|2197987|"Anchor rod HAS-E-55 3/8""x8"""|2024-08-06|2024-10-02|2024-10-15|X|2|Truck|ZTLA|320.0|C|D451424005|13|56342757|50|2024-08-06|26.09.2024|320,000|2024-10-15|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L01|0|0|0|0||0|0|3000/2197987
0|3000|L02|0|13451424|17|2210236|Ultimate exp anc KB-TZ2 3/8x3|2024-08-06|2024-09-19|2024-10-15|X|2|Truck|ZTLA|6400.0|C|D451424017|26|56342757|170|2024-08-06|26.09.2024|6.400,000|2024-09-30|HMX3000|510|0|0|0.0|0|0|0|0|0|0|0|0|0|5251|L02|0|0|0|2|2024-09-11|0|0|3000/2210236
