POrg|Plnt|SLoc|Material|Type|Doc_Date|Supplier|Pur_Doc|Quantity|OUn|Quantity1|SKU|PGr|Net_Price|Crcy|Per|To_be_del_1|To_be_del_2|To_be_inv_1|To_be_inv_2|key_plant|key_material
8300|8330|1|2203495|NB|2024-09-13|9999       HILTI|4537360211|24.0|M|24.0|M|L11|95.87|USD|1.0|24.0|2300.88|0.0|0.0|8330/2203495|8300/2203495
8300|8330|1|2203504|NB|2024-09-13|9999       HILTI|4537360212|50.0|PC|50.0|PC|L11|5.1|USD|1.0|50.0|255.0|0.0|0.0|8330/2203504|8300/2203504
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360213|800.0|PC|800.0|PC|L11|31.47|USD|100.0|800.0|251.76|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2203546|NB|2024-09-13|9999       HILTI|4537360214|144.0|PC|144.0|PC|L11|31.47|USD|100.0|144.0|45.32|0.0|0.0|8330/2203546|8300/2203546
8300|8330|1|2205246|NB|2024-09-13|9999       HILTI|4537360215|2.0|PC|2.0|PC|L11|8.09|USD|10.0|2.0|1.62|0.0|0.0|8330/2205246|8300/2205246
8300|8330|1|2208751|NB|2024-09-13|9999       HILTI|4537360216|2700.0|PC|2700.0|PC|L11|7.34|USD|10.0|2700.0|1981.8|0.0|0.0|8330/2208751|8300/2208751
8300|8330|1|2216386|NB|2024-09-13|9999       HILTI|4537360217|48.0|PC|48.0|PC|L11|16.19|USD|1.0|48.0|777.12|0.0|0.0|8330/2216386|8300/2216386
8300|8330|1|2226740|NB|2024-09-13|9999       HILTI|4537360218|84.0|PC|84.0|PC|L11|105.27|USD|1.0|84.0|8842.68|0.0|0.0|8330/2226740|8300/2226740
8300|8330|1|2238428|NB|2024-09-13|9999       HILTI|4537360219|46.0|PC|46.0|PC|L11|33.71|USD|1.0|46.0|1550.66|0.0|0.0|8330/2238428|8300/2238428
8300|8330|1|2262104|NB|2024-09-13|9999       HILTI|4537360220|144.0|PC|144.0|PC|L11|42.73|USD|100.0|144.0|61.53|0.0|0.0|8330/2262104|8300/2262104
