SOrg|Plnt|Material|Material_number|X_Plant_Material_Status|MS|Gross_weight|WUn|Spart|ValidFrom|Minorder_qty|BUn|Orig|Web|FM_rel|Av|PGr|GRT|Typ|MRPCn|Minlot_size|BUn1|SPT|PDT|TABCD|XYZ|Pl|Safety_Stock|Rounding_val|BUn2|Rprofile|LS|Min_dely_qty|BUn3|key_material
8300|8330|2301807|E-learning flying sparks|14|40|0.0|G|nan|2023-09-01|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2301807
8300|8330|2301808|E-learning drilling + demol|14|40|0.0|G|nan|2023-09-01|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2301808
8300|8330|2301809|E-learning chem product|14|40|0.0|G|nan|2023-09-01|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2301809
8300|8330|2302100|E-learning dust|14|40|0.0|G|nan|2023-09-01|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2302100
8300|8330|2302101|E-learning vibration|14|40|0.0|G|nan|2023-09-01|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2302101
8300|8330|2302102|E-learning cut-off saw|14|40|0.0|G|nan|2023-09-01|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2302102
8300|8330|2320258|E-learning basic team reg.|14|40|0.0|KG|nan|2023-09-01|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2320258
8300|8330|2320531|E-learning vibration team reg.|14|40|0.0|KG|nan|2023-09-01|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2320531
8300|8330|2320535|E-learning cut-off saw team reg.|14|40|0.0|KG|nan|2023-09-01|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2320535
8300|8330|2320538|E-learning drilling+demol team reg.|14|40|0.0|KG|nan|2023-09-01|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2320538
8300|8330|2320540|E-learning flying sparks team reg.|14|40|0.0|KG|nan|2023-09-01|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2320540
8300|8330|2320541|E-learning dust team reg.|14|40|0.0|KG|nan|2023-09-01|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2320541
8300|8330|2320543|E-learning chem product team reg.|14|40|0.0|KG|nan|2023-09-01|1.0|PC|nan|nan|nan|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2320543
8300|8330|2335692|ON!Track unite subscription (beta)|14|40|0.0|KG|nan|2023-09-01|1.0|PC|nan|nan|F|nan|L13|0.0|ND|L13|1.0|PC|20|10.0|D|N|nan|0.0|1|PC|Z004|EX|1.0|PC|8300/2335692
8300|8330|3709412|AnulaÁ„o de VL ref. serv. de transportes|14|40|0.0|G|nan|2020-12-22|1.0|PC|nan|nan|nan|nan|BR1|0.0|ND|BR1|0.0|PC|nan|0.0|D|N|nan|0.0|0|PC|Z001|nan|1.0|PC|8300/3709412
8300|8330|2292239|Set-up service 1h basic|14|40|0.0|G|nan|2020-09-23|1.0|H|BR|nan|nan|nan|L13|0.0|ND|L13|1.0|H|20|10.0|D|N|nan|0.0|1,000|H|Z004|EX|1.0|H|8300/2292239
