Material|Material_Description|SLoc|SL|Plnt|BUn|Unrestricted|Transit_Transf|Blocked|In_Qual_Insp|Restricted_Use|Returns|Stk_in_Transit|Sorg|key_material
3703|Ring|6000.0|nan|8335|PC|1.0|0|0|0|0|0|0|8300|8300/3703
3703|Ring|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/3703
3704|Retaining ring|6000.0|nan|8678|PC|2.0|0|0|0|0|0|0|8650|8650/3704
3705|Housing|6000.0|nan|8335|PC|2.0|0|0|0|0|0|0|8300|8300/3705
3705|Housing|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/3705
3706|Trigger|2.0|nan|8335|PC|6.0|0|0|0|0|0|0|8300|8300/3706
3706|Trigger|6000.0|nan|8335|PC|17.0|0|0|0|0|0|0|8300|8300/3706
3706|Trigger|6000.0|nan|8678|PC|2.0|0|0|0|0|0|0|8650|8650/3706
3707|Compression spring 0,63X9,56X20,7|6000.0|nan|3070|PC|3.0|0|0|0|0|0|0|3000|3000/3707
3707|Compression spring 0,63X9,56X20,7|50.0|nan|8326|PC|23.0|0|0|0|0|0|0|8300|8300/3707
3707|Compression spring 0,63X9,56X20,7|2.0|nan|8335|PC|2.0|0|0|0|0|0|0|8300|8300/3707
3707|Compression spring 0,63X9,56X20,7|6000.0|nan|8335|PC|6.0|0|0|0|0|0|0|8300|8300/3707
3707|Compression spring 0,63X9,56X20,7|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/3707
3708|Firing pin assy|6000.0|nan|3070|PC|4.0|0|0|0|0|0|0|3000|3000/3708
3708|Firing pin assy|50.0|nan|8326|PC|5.0|0|0|0|0|0|0|8300|8300/3708
3708|Firing pin assy|2.0|nan|8335|PC|1.0|0|0|0|0|0|0|8300|8300/3708
3708|Firing pin assy|6000.0|nan|8335|PC|6.0|0|0|0|0|0|0|8300|8300/3708
3708|Firing pin assy|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/3708
3712|Washer|6000.0|nan|8678|PC|3.0|0|0|0|0|0|0|8650|8650/3712
3716|Transport lever|2.0|nan|8335|PC|10.0|0|0|0|0|0|0|8300|8300/3716
3716|Transport lever|6000.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/3716
3716|Transport lever|6000.0|nan|8678|PC|1.0|0|0|0|0|0|0|8650|8650/3716
3718|Nut|6000.0|nan|3070|PC|4.0|0|0|0|0|0|0|3000|3000/3718
3718|Nut|2.0|nan|8335|PC|3.0|0|0|0|0|0|0|8300|8300/3718
3718|Nut|6000.0|nan|8335|PC|3.0|0|0|0|0|0|0|8300|8300/3718
3722|Compression spring 1,7X16,4X60|2.0|nan|8335|PC|2.0|0|0|0|0|0|0|8300|8300/3722
3722|Compression spring 1,7X16,4X60|6000.0|nan|8335|PC|3.0|0|0|0|0|0|0|8300|8300/3722
3722|Compression spring 1,7X16,4X60|6000.0|nan|8678|PC|3.0|0|0|0|0|0|0|8650|8650/3722
3723|Grip|2.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/3723
3723|Grip|6000.0|nan|8335|PC|3.0|0|0|0|0|0|0|8300|8300/3723
3723|Grip|6000.0|nan|8678|PC|2.0|0|0|0|0|0|0|8650|8650/3723
3724|Lid|6000.0|nan|3070|PC|3.0|0|0|0|0|0|0|3000|3000/3724
3724|Lid|6000.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/3724
3724|Lid|6000.0|nan|8678|PC|2.0|0|0|0|0|0|0|8650|8650/3724
3730|Piston ring|1.0|nan|3000|PC|1.0|0|0|0|0|0|0|3000|3000/3730
3730|Piston ring|2.0|nan|8335|PC|2.0|0|0|0|0|0|0|8300|8300/3730
3733|Pin|6000.0|nan|8335|PC|3.0|0|0|0|0|0|0|8300|8300/3733
3735|Pin|2.0|nan|8335|PC|2.0|0|0|0|0|0|0|8300|8300/3735
3736|Retaining ring|2.0|nan|8335|PC|8.0|0|0|0|0|0|0|8300|8300/3736
3737|Fastener guide 36/F3|6000.0|nan|3070|PC|2.0|0|0|0|0|0|0|3000|3000/3737
3737|Fastener guide 36/F3|50.0|nan|8326|PC|1.0|0|0|0|0|0|0|8300|8300/3737
3737|Fastener guide 36/F3|6000.0|nan|8335|PC|5.0|0|0|0|0|0|0|8300|8300/3737
3737|Fastener guide 36/F3|1.0|nan|8650|PC|2.0|0|0|0|0|0|0|8650|8650/3737
3737|Fastener guide 36/F3|6000.0|nan|8678|PC|6.0|0|0|0|0|0|0|8650|8650/3737
3737|Fastener guide 36/F3|6000.0|nan|8770|PC|1.0|0|0|0|0|0|0|8750|8750/3737
3738|Baseplate 36/S13|6000.0|nan|3070|PC|1.0|0|0|0|0|0|0|3000|3000/3738
3738|Baseplate 36/S13|50.0|nan|8326|PC|5.0|0|0|0|0|0|0|8300|8300/3738
3738|Baseplate 36/S13|2.0|nan|8335|PC|2.0|0|0|0|0|0|0|8300|8300/3738
