SOrg,Plnt,Material,Material_number,X_Plant_Material_Status,MS,Gross_weight,WUn,Spart,ValidFrom,Minorder_qty,BUn,Orig,Web,FM_rel,Av,PGr,GRT,Typ,MRPCn,Minlot_size,BUn1,SPT,PDT,TABCD,XYZ,Pl,Safety_Stock,Rounding_val,BUn2,Rprofile,LS,Min_dely_qty,BUn3,key_material
3000,3000,2356759,Square washer UNO WA-SQ D21-M8 SS,14,33,60.0,G,nan,2023-12-01,1.0,PC,NO,nan,nan,ZC,L11,20.0,Y1,L11,1.0,PC,20,950.0,D,Z,nan,0.0,1,PC,Z004,PK,1.0,PC,3000/2356759
3000,3000,2322427,Clamp MT-CC-30,14,33,271.0,G,nan,2023-09-25,10.0,PC,CN,X,nan,ZC,L14,20.0,Y1,L14,10.0,PC,U0,630.0,D,N,nan,0.0,10,PC,Z004,PK,10.0,PC,3000/2322427
3000,3000,2295979,SmartCleat SCLT-1xØ87 PT SS,14,33,430.0,G,nan,2023-12-01,1.0,PC,NO,nan,nan,ZC,L11,20.0,Y1,L11,1.0,PC,20,950.0,D,Z,nan,0.0,1,PC,Z004,PK,1.0,PC,3000/2295979
3000,3000,2295408,SmartCleat SCLT-3xØ87 PT SS,14,33,670.0,G,nan,2023-12-01,1.0,PC,NO,nan,nan,ZC,L11,20.0,Y1,L11,1.0,PC,20,950.0,D,Z,nan,0.0,1,PC,Z004,PK,1.0,PC,3000/2295408
3000,3000,2294479,Br.brack. Mekano 50/100 BB-AP PT SS,14,33,1200.0,G,nan,2023-12-01,1.0,PC,NO,nan,nan,ZC,L11,20.0,Y1,L11,1.0,PC,20,950.0,D,Z,nan,0.0,1,PC,Z004,PK,1.0,PC,3000/2294479
3000,3000,2288404,"U-bolt MP-UB 26 3/4"" M8 OC",14,33,89.0,G,nan,2023-09-01,40.0,PC,CN,X,nan,ZC,L06,20.0,Y1,L06,40.0,PC,U4,640.0,D,N,nan,0.0,40,PC,Z004,PK,40.0,PC,3000/2288404
3000,3000,2271443,Bracket MT-BR-40 300 OC,14,33,1214.0,G,nan,2023-01-09,10.0,PC,CN,X,nan,ZC,L14,20.0,Y1,L14,10.0,PC,U0,630.0,D,Z,nan,0.0,10,PC,Z004,PK,10.0,PC,3000/2271443
3000,3000,2270097,Starter OS S-M BS-BB-AP-110 SS,14,33,880.0,G,nan,2023-09-25,1.0,PC,CN,nan,nan,ZC,L11,20.0,Y1,L11,1.0,PC,20,950.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,3000/2270097
3000,3000,2268695,L.bolt LB-M6x25 A4,14,33,6.0,G,nan,2023-12-01,1.0,PC,NO,nan,nan,ZC,L11,20.0,Y1,L11,1.0,PC,20,810.0,D,Z,nan,0.0,1,PC,Z004,PK,1.0,PC,3000/2268695
3000,3000,2268527,Adapter M8-MF 50 (25),14,33,128.0,G,nan,2023-09-01,25.0,PC,CH,X,nan,ZC,L10,20.0,Y1,L10,25.0,PC,4C,1650.0,C,Y,nan,0.0,25,PC,Z004,PK,25.0,PC,3000/2268527
