SOrg,Plnt,Material,Material_number,X_Plant_Material_Status,MS,Gross_weight,WUn,Spart,ValidFrom,Minorder_qty,BUn,Orig,Web,FM_rel,Av,PGr,GRT,Typ,MRPCn,Minlot_size,BUn1,SPT,PDT,TABCD,XYZ,Pl,Safety_Stock,Rounding_val,BUn2,Rprofile,LS,Min_dely_qty,BUn3,key_material
8650,8650,2040915,Water collector sys DD-WMK-BI,14,33,5040.0,G,nan,2023-11-13,1.0,PC,LI,X,nan,ZC,L05,20.0,X6,L05,1.0,PC,4C,500.0,D,Z,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/2040915
8650,8650,2118729,Cutting disc P-T 230/22.2 (6) univ,14,80,648.0,G,nan,2023-11-30,6.0,PC,IN,X,nan,ZC,L05,20.0,ND,L05,6.0,PC,4C,500.0,D,N,X,0.0,6,PC,Z004,PK,6.0,PC,8650/2118729
8650,8650,2200125,Cordl. drill driver SF 2-A12 box,14,80,1275.0,G,nan,2023-10-30,1.0,PC,CN,X,F,ZC,L09,20.0,ND,L09,1.0,PC,U0,480.0,D,Z,X,0.0,1,PC,Z004,PK,1.0,PC,8650/2200125
8650,8650,409498,"Flush anchor HDI-P 1/4""",14,40,8.0,G,nan,2020-03-31,100.0,PC,MX,X,nan,ZC,L02,20.0,X6,L02,100.0,PC,90,560.0,D,N,nan,0.0,100,PC,Z004,PK,100.0,PC,8650/409498
8650,8650,2018440,"Anchor rod HIT-Z 3/8"" x 4 3/8""",14,40,62.909,G,nan,2020-07-10,40.0,PC,LI,nan,nan,ZC,L01,20.0,X6,L01,40.0,PC,90,560.0,D,N,nan,0.0,40,PC,Z004,PK,40.0,PC,8650/2018440
8650,8650,2178617,Demonstration case HIT DEMO empty,14,40,3310.0,G,nan,2020-03-31,1.0,PC,AT,nan,nan,ZC,L01,20.0,X6,L01,1.0,PC,U0,760.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/2178617
8650,8650,409500,"Flush anchor HDI-P 1/2""",14,40,27.2,G,nan,2020-03-31,50.0,PC,MX,X,nan,ZC,L02,20.0,X6,L02,50.0,PC,90,560.0,D,N,nan,0.0,50,PC,Z004,PK,50.0,PC,8650/409500
8650,8650,2170680,Twist drill bit HSS-R 10.0x133mm MP10,14,40,50.914,G,nan,2020-03-31,10.0,PC,CN,X,nan,ZC,L09,20.0,X6,L09,10.0,PC,4C,500.0,D,Y,nan,0.0,10,PC,Z004,PK,10.0,PC,8650/2170680
8650,8650,2136354,"E-Spring 3/4"" -27mm / -1 1/16"" MP5",14,40,2.8,G,nan,2020-08-10,5.0,PC,TW,X,nan,ZC,L09,20.0,X6,L09,5.0,PC,4C,500.0,D,Z,nan,0.0,5,PC,Z004,PK,5.0,PC,8650/2136354
8650,8650,2149892,Cut-out bit SCOB M 5/32 (2),14,40,10.85,G,nan,2020-03-31,2.0,PC,ES,X,nan,ZC,L09,20.0,X6,L09,2.0,PC,4C,500.0,D,N,nan,0.0,2,PC,Z004,PK,2.0,PC,8650/2149892
8650,8650,2197998,"Anchor rod HAS-E-55 5/8""x17""",14,40,606.0,G,nan,2023-09-01,10.0,PC,MX,X,nan,ZC,L02,20.0,X6,L02,10.0,PC,90,560.0,D,Z,nan,0.0,10,PC,Z004,PK,10.0,PC,8650/2197998
8650,8650,2197982,"Anchor rod HAS-B-105 HDG 1""x21""",14,40,1968.32,G,nan,2020-03-31,2.0,PC,MX,X,nan,ZC,L01,20.0,X6,L01,2.0,PC,90,560.0,C,Z,nan,0.0,2,PC,Z004,PK,2.0,PC,8650/2197982
8650,8650,7285,Marking character X-MC S 8/10 J,14,40,29.0,G,nan,2011-09-03,1.0,PC,FR,X,nan,ZC,L04,20.0,X6,L04,1.0,PC,4C,650.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/7285
8650,8650,7292,Marking character X-MC S 8/10 Q,14,40,20.0,G,nan,2011-09-03,1.0,PC,FR,X,nan,ZC,L04,20.0,X6,L04,1.0,PC,4C,500.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/7292
8650,8650,312559,Marking character X-MC LS 8/10 1,14,40,20.0,G,nan,2011-09-03,1.0,PC,FR,X,nan,ZC,L04,20.0,X6,L04,1.0,PC,4C,500.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/312559
8650,8650,312565,Marking character X-MC LS 8/10 7,14,40,29.0,G,nan,2011-09-03,1.0,PC,FR,X,nan,ZC,L04,20.0,X6,L04,1.0,PC,4C,500.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/312565
8650,8650,2005043,Cont. SCM assy packed,14,80,118.0,G,X,2024-03-06,1.0,PC,CN,nan,nan,ZC,L09,0.0,ND,L09,1.0,PC,LJ,90.0,D,Z,X,0.0,1,PC,Z004,PK,1.0,PC,8650/2005043
8650,8650,2305643,Diamond wire DS-W 10.2-100m EP SP-L C&S,14,40,330.0,G,nan,2023-09-01,5.0,M,KR,X,nan,ZC,L12,20.0,X6,L12,5.0,M,4C,920.0,D,N,nan,0.0,5,M,Z004,PK,5.0,M,8650/2305643
8650,8650,2305644,Diamond wire DS-W 10.2-50m EP SP-L C&S,14,40,364.0,G,nan,2023-09-01,5.0,M,KR,X,nan,ZC,L12,20.0,X6,L12,5.0,M,4C,920.0,D,N,nan,0.0,5,M,Z004,PK,5.0,M,8650/2305644
8650,8650,2305645,Diamond wire DS-W 10.2-25m EP SP-L C&S,14,40,312.0,G,nan,2023-09-01,5.0,M,KR,X,nan,ZC,L12,20.0,X6,L12,5.0,M,4C,920.0,D,N,nan,0.0,5,M,Z004,PK,5.0,M,8650/2305645
8650,8650,2305646,Diamond wire DS-W 10.2m EP SP-L C&S,14,40,330.0,G,nan,2023-09-01,1.0,M,KR,X,nan,ZC,L12,20.0,X6,L12,1.0,M,4C,920.0,D,N,nan,0.0,1,M,Z004,PK,1.0,M,8650/2305646
8650,8650,2305650,Diamond wire DS-W 10.8-100m EP SP-M/H ST,14,40,350.0,G,nan,2023-09-01,100.0,M,KR,X,nan,ZC,L12,20.0,X6,L12,100.0,M,4C,920.0,D,N,nan,0.0,100,M,Z004,PK,100.0,M,8650/2305650
8650,8650,2305651,Diamond wire DS-W 10.8-50m EP SP-M/H ST,14,40,385.6,G,nan,2023-09-01,50.0,M,KR,X,nan,ZC,L12,20.0,X6,L12,50.0,M,4C,920.0,D,N,nan,0.0,50,M,Z004,PK,50.0,M,8650/2305651
8650,8650,2305653,Diamond wire DS-W 10.8m EP SP-M/H ST,14,40,330.0,G,nan,2023-09-01,1.0,M,KR,X,nan,ZC,L12,20.0,X6,L12,1.0,M,4C,920.0,D,N,nan,0.0,1,M,Z004,PK,1.0,M,8650/2305653
8650,8650,2305661,Diamond wire DS-W 10.5-100m VB SP-H,14,33,330.0,G,nan,2023-01-12,100.0,M,KR,X,nan,ZC,L12,20.0,X6,L12,5.0,M,4C,920.0,D,Z,nan,0.0,5,M,Z004,PK,100.0,M,8650/2305661
8650,8650,2305662,Diamond wire DS-W 10.5-50m VB SP-H,14,33,349.6,G,nan,2023-01-12,50.0,M,KR,X,nan,ZC,L12,20.0,X6,L12,5.0,M,4C,920.0,D,Z,nan,0.0,5,M,Z004,PK,50.0,M,8650/2305662
8650,8650,2142773,Gas can GC 32,14,80,114.0,G,nan,2023-12-14,12.0,PC,DE,X,nan,ZC,L04,20.0,ND,L04,20.0,PC,4C,70.0,D,N,X,0.0,20,PC,Z004,PK,12.0,PC,8650/2142773
8650,8650,438632,Concrete drill bit Kwik-Con 1/4(6.4mm) S,14,40,65.0,G,nan,2020-08-10,1.0,PC,DE,X,nan,ZC,L09,20.0,X6,L09,1.0,PC,4C,500.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/438632
8650,8650,2051865,Remote control DST WRC-CA assy,14,40,7430.0,G,nan,2023-09-01,1.0,PC,DE,X,F,ZR,L05,20.0,X6,L05,1.0,PC,4C,660.0,B,Z,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/2051865
8650,8650,2198036,"Anchor rod HAS-V-36 HDG 1/2""x6-1/2""",14,33,154.8,G,nan,2023-09-01,10.0,PC,MX,nan,nan,ZC,L01,20.0,Y1,L01,10.0,PC,90,560.0,D,Z,nan,0.0,10,PC,Z004,PK,10.0,PC,8650/2198036
8650,8650,2349151,Grating disc X-FCM 48/53,14,40,45.5,G,nan,2023-09-01,100.0,PC,CN,X,nan,ZC,L04,20.0,X6,L04,100.0,PC,4C,1430.0,D,Z,nan,0.0,100,PC,Z004,PK,100.0,PC,8650/2349151
8650,8650,3625495,Basic customer analysis ON!Track,14,40,0.0,G,nan,2019-04-01,1.0,PC,nan,nan,nan,ZC,L13,10.0,ND,L13,1.0,PC,20,0.0,D,N,nan,0.0,1,PC,Z004,nan,1.0,PC,8650/3625495
8650,8650,3625500,Impl. ON!Track (2501-10000) REGIONES - 1,14,40,0.0,G,nan,2019-04-01,1.0,PC,nan,nan,nan,ZC,L13,10.0,ND,L13,1.0,PC,20,0.0,D,N,nan,0.0,1,PC,Z004,nan,1.0,PC,8650/3625500
8650,8650,3629506,Imp. ON!Track Plus REGIONES 2,14,40,0.0,G,nan,2019-04-01,1.0,PC,nan,nan,nan,ZC,L13,10.0,ND,L13,1.0,PC,20,0.0,D,N,nan,0.0,1,PC,Z004,nan,1.0,PC,8650/3629506
8650,8650,2168895,Chisel TE-SX SM/FM 50 (4) set,14,80,6300.0,G,nan,2022-07-11,1.0,PC,HU,nan,nan,ZC,L09,20.0,ND,L09,1.0,PC,4C,600.0,D,N,X,0.0,1,PC,Z004,PK,1.0,PC,8650/2168895
8650,8650,2168894,Chisel TE-SX SM/FM 36 (4) set,14,80,4406.0,G,nan,2022-06-29,1.0,PC,HU,nan,nan,ZC,L09,20.0,ND,L09,1.0,PC,4C,600.0,D,N,X,0.0,1,PC,Z004,PK,1.0,PC,8650/2168894
8650,8650,2240605,Cordl. reciprocating saw SR 4-22 case,14,33,5000.0,G,nan,2023-02-22,1.0,PC,CN,X,F,ZC,L15,20.0,X5,L15,1.0,PC,4C,500.0,B,Y,nan,4.0,1,PC,Z004,PK,1.0,PC,8650/2240605
8650,8650,2252514,Cordl. cable cutter NCT 85 C-22 case,14,40,10551.0,G,nan,2023-09-01,1.0,PC,DE,X,F,ZC,L15,20.0,X5,L15,1.0,PC,U0,480.0,B,Z,nan,1.0,1,PC,Z004,PK,1.0,PC,8650/2252514
8650,8650,2251185,Cordl. orbital jig saw SJD 6-22 case,14,33,5041.67,G,nan,2023-02-22,1.0,PC,CN,X,F,ZC,L15,20.0,X5,L15,1.0,PC,U4,490.0,D,Z,nan,2.0,1,PC,Z004,PK,1.0,PC,8650/2251185
8650,8650,2252510,Cordl. cable cutter NCT 53 C-22 case,14,40,5316.0,G,nan,2023-09-01,1.0,PC,DE,X,F,ZC,L15,20.0,X5,L15,1.0,PC,U0,480.0,D,N,nan,1.0,1,PC,Z004,PK,1.0,PC,8650/2252510
8650,8650,2165900,"Hammer drill bit TE-YX 3/4""-21""",14,40,644.61,G,nan,2020-03-31,1.0,PC,DE,X,nan,ZC,L09,20.0,X0,L09,30.0,PC,4C,500.0,A,X,nan,45.0,30,PC,Z004,PK,1.0,PC,8650/2165900
8650,8650,2165909,"Hammer drill bit TE-YX 26/52 1""-21""",14,40,805.0,G,nan,2020-03-31,1.0,PC,DE,X,nan,ZC,L09,20.0,X0,L09,40.0,PC,4C,500.0,A,X,nan,45.0,20,PC,Z004,PK,1.0,PC,8650/2165909
8650,8650,2203505,Gusset plate OS S-M GP-CH100-2T SS,14,40,1151.0,G,nan,2024-02-05,1.0,PC,NO,nan,nan,ZC,L11,20.0,X6,L11,1.0,PC,20,620.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/2203505
8650,8650,2203491,Channel Mekano CH100-2T-2-3000 SS,14,40,3830.0,G,nan,2024-02-05,3.0,M,NO,X,nan,ZC,L11,20.0,X6,L11,3.0,M,20,620.0,D,N,nan,0.0,3,M,Z004,PK,3.0,M,8650/2203491
8650,8650,2227081,Starter OS S-M 300-CH125-2T5 SS,14,40,8400.0,G,nan,2024-02-05,1.0,PC,NO,nan,nan,ZC,L11,20.0,X6,L11,1.0,PC,20,620.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/2227081
8650,8650,2203499,Channel OS S-M CH125-2T5-3000 SS,14,40,12300.0,G,nan,2024-02-05,3.0,M,NO,X,nan,ZC,L11,20.0,X6,L11,3.0,M,20,620.0,D,N,nan,0.0,3,M,Z004,PK,3.0,M,8650/2203499
8650,8650,243744,"Setting tool HSD-G M16 5/8""X65",14,40,584.1,G,nan,2024-03-08,1.0,PC,DE,X,nan,ZC,L02,20.0,X6,L02,1.0,PC,U0,480.0,D,Z,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/243744
8650,8650,2061272,Sealing washer,14,40,185.0,G,X,2023-09-01,1.0,PC,CH,nan,nan,ZC,L08,20.0,X6,L08,1.0,PC,4C,480.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/2061272
8650,8650,2268007,Dust removal system TE DRS-H,14,40,2700.0,G,nan,2023-09-01,1.0,PC,CH,X,F,ZC,L08,20.0,X6,L08,1.0,PC,4C,500.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/2268007
8650,8650,2232596,Pointed chisel TE-Y SM 60 (10),16,40,1143.7,G,nan,2023-09-01,10.0,PC,HU,X,nan,ZC,L09,20.0,X5,L09,10.0,PC,4C,500.0,C,Y,nan,20.0,10,PC,Z004,PK,10.0,PC,8650/2232596
8650,8650,2230571,Washer WA-Ø24x2.5-M12 A4,14,60,5.0,G,nan,2022-08-25,1.0,PC,SE,X,nan,ZC,L11,20.0,ND,L11,1.0,PC,20,620.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/2230571
8650,8650,2305538,"Core bit BT-F 1 1/4""/12"" SPX-L",14,40,405.0,G,nan,2023-09-01,1.0,PC,HU,X,nan,ZC,L05,20.0,X5,L05,1.0,PC,4C,850.0,B,Y,nan,5.0,1,PC,Z004,PK,1.0,PC,8650/2305538
8650,8650,3783382,Custom Structure Prefab Ref Mat 1,14,40,0.0,G,nan,2023-09-22,1.0,PC,nan,nan,nan,KP,L06,10.0,ND,L06,1.0,PC,20,0.0,D,N,nan,0.0,1,PC,Z004,EX,0.0,PC,8650/3783382
8650,8650,24631,Cleaner CFR1 500ML,14,40,456.438,G,nan,2011-09-03,1.0,PC,SI,X,nan,ZC,L03,20.0,X5,L03,12.0,PC,4C,70.0,C,Y,nan,24.0,12,PC,Z004,PK,1.0,PC,8650/24631
8650,8650,24669,Dispenser CS 270-P1,14,40,1051.9,G,nan,2011-09-03,1.0,PC,GB,X,nan,ZC,L03,20.0,X5,L03,1.0,PC,4C,500.0,D,Z,nan,2.0,1,PC,Z004,PK,1.0,PC,8650/24669
8650,8650,243750,"Setting tool HSD-M M10 3/8""X30",14,40,80.0,G,nan,2018-11-09,1.0,PC,DE,X,nan,ZC,L02,20.0,X5,L02,1.0,PC,4C,500.0,D,Y,nan,2.0,1,PC,Z004,PK,1.0,PC,8650/243750
8650,8650,243753,"Setting tool HSD-M M16 5/8""X65",14,40,385.0,G,nan,2018-08-10,1.0,PC,DE,X,nan,ZC,L02,20.0,X5,L02,1.0,PC,4C,500.0,D,Y,nan,5.0,1,PC,Z004,PK,1.0,PC,8650/243753
8650,8650,273204,"Round steel brush HIT-RB 1/2""",14,40,39.4,G,nan,2011-09-03,1.0,PC,CH,X,nan,ZC,L01,20.0,X5,L01,10.0,PC,4C,500.0,D,Y,nan,5.0,10,PC,Z004,PK,1.0,PC,8650/273204
8650,8650,336429,"Flush anchor HDI 3/4""",14,40,229.76,G,nan,2011-09-03,25.0,PC,CN,X,nan,ZC,L02,20.0,X5,L02,25.0,PC,90,560.0,B,Y,nan,160.0,25,PC,Z004,PK,25.0,PC,8650/336429
8650,8650,337918,Setting tool HS-SC 150,14,40,120.0,G,nan,2021-05-07,1.0,PC,HU,X,nan,ZC,L02,20.0,X5,L02,1.0,PC,4C,500.0,D,Y,nan,5.0,1,PC,Z004,PK,1.0,PC,8650/337918
8650,8650,2169856,"Screw anchor KH-EZ P 1/4""x1  7/8""",14,40,15.2,G,nan,2020-03-31,100.0,PC,TW,X,nan,ZC,L02,20.0,X5,L02,100.0,PC,90,560.0,C,Y,nan,1000.0,100,PC,Z004,PK,100.0,PC,8650/2169856
8650,8650,2210172,Ultimate exp anc KB-TZ2 3/4x10,14,40,548.7,G,nan,2023-09-01,10.0,PC,MX,X,nan,ZC,L02,20.0,X5,L02,10.0,PC,90,560.0,C,Z,nan,35.0,10,PC,Z004,PK,10.0,PC,8650/2210172
8650,8650,2231465,Premium exp anc KB1 5/8x8 1/2,14,40,325.333,G,nan,2023-09-01,15.0,PC,MX,X,nan,ZC,L02,20.0,X5,L02,15.0,PC,90,560.0,C,Z,nan,55.0,15,PC,Z004,PK,15.0,PC,8650/2231465
8650,8650,2287820,Univ. anchor HUD-2 6x30 (500),14,40,0.628,G,nan,2023-09-01,500.0,PC,DE,X,nan,ZC,L02,20.0,X5,L02,500.0,PC,U0,480.0,D,Z,nan,250.0,500,PC,Z004,PK,500.0,PC,8650/2287820
8650,8650,2367675,Injectable mortar HIT-MM PLUS 500,14,80,942.23,G,nan,2024-01-10,1.0,PC,DE,X,nan,ZC,L01,20.0,ND,L01,0.0,PC,nan,0.0,D,N,X,0.0,0,PC,Z004,PK,1.0,PC,8650/2367675
8650,8650,2305928,Bracket MFT-FOX V 194 L 6.5 / 11,14,33,353.8,G,nan,2024-01-10,25.0,PC,AT,nan,nan,ZC,L06,20.0,X6,L06,25.0,PC,U4,490.0,nan,nan,nan,0.0,25,PC,Z004,PK,25.0,PC,8650/2305928
8650,8650,2305962,Bracket MFT-FOX V 194 M 6.5 / 11,14,33,175.88,G,nan,2024-01-10,50.0,PC,AT,nan,nan,ZC,L06,20.0,X6,L06,50.0,PC,U4,490.0,nan,nan,nan,0.0,50,PC,Z004,PK,50.0,PC,8650/2305962
8650,8650,2352793,Int. conc. vibrator NCV 4-22 cordl.,14,33,5110.0,G,nan,2023-12-27,1.0,PC,CN,X,F,ZC,L15,20.0,X0,L15,1.0,PC,U4,490.0,D,Z,nan,10.0,1,PC,Z004,PK,1.0,PC,8650/2352793
8650,8650,2047074,Multi line laser PM 4-M ET,14,40,1074.0,G,X,2020-03-31,1.0,PC,CN,nan,F,ZR,L07,20.0,X6,L07,1.0,PC,LJ,30.0,A,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/2047074
8650,8650,203865,Suction hose 27mmx3.5m anti-static,14,40,1623.0,G,X,2011-09-03,1.0,PC,DE,X,nan,ZR,L05,20.0,X6,L05,1.0,PC,4C,500.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/203865
8650,8650,3590035,20 HIT HY 200 R + HDM,14,80,8702.0,G,nan,2019-10-10,1.0,PC,nan,nan,nan,ZC,L01,10.0,ND,L01,1.0,PC,05,0.0,D,Z,X,0.0,1,PC,Z004,nan,1.0,PC,8650/3590035
8650,8650,3910952,Firestop System Identification Label,14,40,290.0,G,nan,2024-01-03,1.0,PC,CL,nan,nan,ZC,L03,20.0,X6,L03,1.0,PC,20,150.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/3910952
8650,8650,2256553,Premium exp anc KB1 5/8x7,14,33,274.667,G,nan,2023-09-01,15.0,PC,MX,X,nan,ZC,L02,20.0,Y1,L02,15.0,PC,90,560.0,C,Z,nan,500.0,15,PC,Z004,PK,15.0,PC,8650/2256553
8650,8650,2248355,Cordl. dryw. screwdr. SD 5000-22 box,14,33,1838.0,G,nan,2023-09-01,1.0,PC,CN,X,F,ZC,L10,20.0,Y1,L10,1.0,PC,U4,490.0,D,N,nan,0.0,1,PC,Z004,PK,1.0,PC,8650/2248355
8650,8650,386470,Electr. cable clamp X-EKSC 40 MX,14,33,15.193,G,nan,2015-03-03,50.0,PC,SI,X,nan,ZC,L04,20.0,Y1,L04,50.0,PC,4C,500.0,D,N,nan,0.0,50,PC,Z004,PK,50.0,PC,8650/386470
