13.09.2024                                         Dynamic List Display                                                                                                  1


	SOrg.	Plnt	Name 1	SLoc	Description	Material	Material Description	Profl.	Serial Number		PP	Equipment	Pstng Date	Total	Serials	BUn
	3000	3090	Hilti TS Mexico	0101	3090-0101	2028878	Battery charger C 4/36-350 115V box	Z001	220460200		01	300060866941	03.10.2016		     3	PC
	3000	3090	Hilti TS Mexico	0101	3090-0101	2029311	Cordl. combihammer TE 30-A36 case	Z001	36392		01	300045278345	03.10.2016		     1	PC
	3000	3090	Hilti TS Mexico	0101	3090-0101	2063015	Combihammer TE 70-ATC/AVR 120V	Z001	25441		01	300048769382	19.11.2014		     1	PC
	3000	3090	Hilti TS Mexico	0101	3090-0101	2136393	Battery pack B 22/2.6 Li-ion	Z001	718510598		01	300070498234	13.01.2018		     2	PC
	3000	3090	Hilti TS Mexico	0101	3090-0101	2136393	Battery pack B 22/2.6 Li-ion	Z001	829860303		01	300081575470	06.08.2019		     2	PC
	3000	3090	Hilti TS Mexico	0101	3090-0101	2180532	Cordl. drill driver SBT 4-A22 box	Z001	1735210		01	300072079489	10.07.2020		     2	PC
	3000	3090	Hilti TS Mexico	0101	3090-0101	2180532	Cordl. drill driver SBT 4-A22 box	Z001	171780158		01	300071619936	16.10.2018		     2	PC
	3000	3090	Hilti TS Mexico	0102	3090-0102	218369	Univ. vacuum cleaner VC 40-U 120V	Z001	32647		01	300060420091	07.11.2016		     1	PC
	3000	3090	Hilti TS Mexico	0102	3090-0102	285632	Hammer drill UH 650 120V box	Z001	35079.		01	300023073872	26.02.2008		     1	PC
	3000	3090	Hilti TS Mexico	0102	3090-0102	285788	Powder-actuated tool DX 76 F15	Z001	12940.		01	300023881705	29.05.2008		     1	PC
	3000	3090	Hilti TS Mexico	0102	3090-0102	331411	Rotating laser PRI 2	Z001	32810158		01	300035491166	03.12.2012		     1	PC
	3000	3090	Hilti TS Mexico	0102	3090-0102	2005630	Cordl. dispenser HDE 500-A22 box	Z001	32333		01	300048936660	03.06.2014		     1	PC
	3000	3090	Hilti TS Mexico	0102	3090-0102	2075615	Angle grinder AG 700-14D	Z001	77811		01	300086171716	24.09.2020		     1	PC
	3000	3090	Hilti TS Mexico	0102	3090-0102	2110409	Battery pack B 22/5.2 Li-ion	Z001	633520143		01	300065056809	17.03.2017		     1	PC
	3000	3090	Hilti TS Mexico	0102	3090-0102	2132224	Combihammer TE 60-ATC/AVR 120 V	Z001	48267		01	300076542770	08.10.2019		     2	PC
	3000	3090	Hilti TS Mexico	0102	3090-0102	2132224	Combihammer TE 60-ATC/AVR 120 V	Z001	13952		01	300064986629	01.08.2017		     2	PC
	3000	3090	Hilti TS Mexico	0102	3090-0102	2251359	Battery pack B 22-170 Li-ion	Z001	208210568		01	300105627477	14.07.2023	   2	     1	PC
	3000	3090	Hilti TS Mexico	0103	3090-0103	267579	Angle grinder DAG 451-S 120V box	Z001	REV-109		01	300043650819	27.03.2013		     1	PC
	3000	3090	Hilti TS Mexico	0103	3090-0103	274719	Breaker TE 500-AVR 120V	Z001	11746		01	300021999695	08.05.2008		     1	PC
	3000	3090	Hilti TS Mexico	0103	3090-0103	282381	Laser range meter PD 32	Z001	REV-110		01	300043650820	27.03.2013		     1	PC
	3000	3090	Hilti TS Mexico	0103	3090-0103	320286	Laser range meter PD 42	Z001	REV-111		01	300043650821	27.03.2013		     1	PC
	3000	3090	Hilti TS Mexico	0103	3090-0103	334239	Combihammer TE 76-ATC 120V	Z001	REV-112		01	300043650822	27.03.2013		     1	PC
	3000	3090	Hilti TS Mexico	0103	3090-0103	337032	Diamond cutter DC 180-S 127V	Z001	REV-115		01	300043650823	27.03.2013		     1	PC
	3000	3090	Hilti TS Mexico	0103	3090-0103	377788	Breaker TE 905-AVR 120V	Z001	317295		01	300020858185	23.11.2007		     1	PC
	3000	3090	Hilti TS Mexico	0103	3090-0103	383885	Combihammer TE 40 120V	Z001	REV-116		01	300043650824	27.03.2013		     1	PC
	3000	3090	Hilti TS Mexico	0103	3090-0103	2007431	Battery pack B 22/3.3 Li-Ion	Z001	8833281		01	300056740388	03.03.2016		     1	PC
	3000	3090	Hilti TS Mexico	0103	3090-0103	2021420	Cordless rotary hammer TE 2-A22 case	Z001	180036		01	300067585328	22.02.2018		     1	PC
	3000	3090	Hilti TS Mexico	0103	3090-0103	2028878	Battery charger C 4/36-350 115V box	Z001	130980302		01	300076681626	27.11.2018	   1	     2	PC
	3000	3090	Hilti TS Mexico	0103	3090-0103	2028878	Battery charger C 4/36-350 115V box	Z001	2315600318		01	300110825370	27.09.2023	   1	     2	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	70287	Angle grinder DCG 230-D 127V box	Z001	REV-037		01	300043650770	27.03.2013		     1	PC
	3000	3090	Hilti TS Mexico	0104	3090-0104	211898	Angle grinder DAG 450-S 120V	Z001	REV-038		01	300043650771	27.03.2013		     1	PC
