
	Material	Material Description	SLoc	SL	Plnt	BUn	   Unrestricted	Transit/Transf.	        Blocked	 In Qual. Insp.	 Restricted-Use	        Returns	 Stk in Transit
	60579	Blow-out pump	0001		3022	PC	             3	             0	             0	             0	             0	             0	             0
	60579	Blow-out pump	0001		8662	PC	             1	             0	             0	             0	             0	             0	             0
	60579	Blow-out pump	0001		8750	PC	            44	             0	             0	             0	             0	             0	             0
	61470	Masonry drill bit TM 1/4"-6"	0001		3010	PC	             2	             0	             0	             0	             0	             0	             0
	61470	Masonry drill bit TM 1/4"-6"	0001		3014	PC	            11	             0	             0	             0	             0	             0	             0
	61470	Masonry drill bit TM 1/4"-6"	0001		3018	PC	             4	             0	             0	             0	             0	             0	             0
	61474	Masonry drill bit TM 5/16"-6"	0001		3000	PC	             7	             0	             0	             0	             0	             0	             0
	61474	Masonry drill bit TM 5/16"-6"	0001		3016	PC	             4	             0	             0	             0	             0	             0	             0
	61477	Masonry drill bit TM 3/8"-6"	0001		3010	PC	             1	             0	             0	             0	             0	             0	             0
	61483	Masonry drill bit TM 1/2"-6"	0001		3000	PC	            11	             0	             0	             0	             0	             0	             0
	61483	Masonry drill bit TM 1/2"-6"	0001		3010	PC	             4	             0	             0	             0	             0	             0	             0
	61483	Masonry drill bit TM 1/2"-6"	0001		3016	PC	             1	             0	             0	             0	             0	             0	             0
	62898	Masonry drill bit TM 5/8"-8"	0001		3000	PC	             5	             0	             0	             0	             0	             0	             0
	65277	Drive socket 9/16x1/2	0001		3000	PC	             1	             0	             0	             0	             0	             0	             0
	74068	Adapter TE-FY-BA-C assy	0001		8750	PC	             5	             0	             0	             0	             0	             0	             0
	76491	Rotary shaft seal AS30X47X7	0002		3000	PC	             2	             0	             0	             0	             0	             0	             0
	84291	Drywall screw 6x1-1/4" PBH S	0001		8662	PC	         8.000	             0	             0	             0	             0	             0	             0
	84323	Drywall screw 6x1-5/8" PBH S	0001		3014	PC	         5.000	             0	             0	             0	             0	             0	             0
	86215	Drywall screw 6x1 1/4" PBH SD ZN	0001		8662	PC	         8.000	             0	             0	             0	             0	             0	             0
	88594	Bushing head TE-Y/S BH 6x6	0001		8750	PC	             3	             0	             0	             0	             0	             0	             0
	200342	Retaining ring	0002		3000	PC	            22	             0	             0	             0	             0	             0	             0
	201407	Needle roller cage 8X16X1,5	0002		3000	PC	             5	             0	             0	             0	             0	             0	             0
	201408	Washer 8X16X1	0002		3000	PC	             5	             0	             0	             0	             0	             0	             0
	202342	Frame anchor HRD-C 8x80	0001		3000	PC	           200	             0	             0	             0	             0	             0	             0
	202900	Core bit extension DD-BS-ET 300 A	0001		3010	PC	             2	             0	             0	             0	             0	             0	             0
	202900	Core bit extension DD-BS-ET 300 A	0001		3014	PC	             2	             0	             0	             0	             0	             0	             0
	202900	Core bit extension DD-BS-ET 300 A	0001		3022	PC	             1	             0	             0	             0	             0	             0	             0
	202900	Core bit extension DD-BS-ET 300 A	0001		8750	PC	             3	             0	             0	             0	             0	             0	             0
	202901	Core bit extension DD-BS-ET 500 A	0001		8750	PC	             2	             0	             0	             0	             0	             0	             0
	203852	Dust bag VC 40/150-10 (10) plastic	0001		8662	PC	            10	             0	             0	             0	             0	             0	             0
	203852	Dust bag VC 40/150-10 (10) plastic	0001		8750	PC	            20	             0	             0	             0	             0	             0	             0
	203854	Dust bag VC 20/150-6 (10) plastic	0001		3000	PC	            10	             0	             0	             0	             0	             0	             0
	203867	Suction hose 36mmx4.65m anti-static	0001		3000	PC	             4	             0	             0	             0	             0	             0	             0
	203867	Suction hose 36mmx4.65m anti-static	0001		8750	PC	             7	             0	             0	             0	             0	             0	             0
	203878	Adapter 36x5M conical	0001		3014	PC	             1	             0	             0	             0	             0	             0	             0
	203878	Adapter 36x5M conical	0001		3016	PC	             1	             0	             0	             0	             0	             0	             0
	206040	Pilot bit HSS-Co	0001		8750	PC	            25	             0	             0	             0	             0	             0	             0
	206508	Hammer drill bit TE-YX 16/92	0001		8750	PC	             8	             0	             0	             0	             0	             0	             0
