13.09.2024                                                                 Dynamic List Display                                                                                                                           1


	POrg	Plnt	SLoc	Material	Type	Doc. Date	Supplier	Pur. Doc.	Quantity	OUn	Quantity	SKU	PGr	     Net Price	Crcy	    Per	  To be del.	       To be del.	  To be inv.	       To be inv.
	8300	8330	0001	2208751	NB	13.09.2024	9999       HILTI	4537360216	  2.700	PC	  2.700	PC	L11	         7,34	USD	    10	      2.700	        1.981,80	          0	            0,00
	8300	8330	0001	2216386	NB	13.09.2024	9999       HILTI	4537360217	     48	PC	     48	PC	L11	        16,19	USD	     1	         48	          777,12	          0	            0,00
	8300	8330	0001	2226740	NB	13.09.2024	9999       HILTI	4537360218	     84	PC	     84	PC	L11	       105,27	USD	     1	         84	        8.842,68	          0	            0,00
	8300	8330	0001	2238428	NB	13.09.2024	9999       HILTI	4537360219	     46	PC	     46	PC	L11	        33,71	USD	     1	         46	        1.550,66	          0	            0,00
	8300	8330	0001	2262104	NB	13.09.2024	9999       HILTI	4537360220	    144	PC	    144	PC	L11	        42,73	USD	   100	        144	           61,53	          0	            0,00
	8300	8330	0001	2264520	NB	13.09.2024	9999       HILTI	4537360221	    144	PC	    144	PC	L11	        41,97	USD	    10	        144	          604,37	          0	            0,00
	8300	8330	0001	2269877	NB	13.09.2024	9999       HILTI	4537360222	     40	PC	     40	PC	L11	        43,50	USD	     1	         40	        1.740,00	          0	            0,00
	8300	8330	0001	2203485	NB	13.09.2024	9999       HILTI	4537360223	     11	PC	     11	PC	L11	       151,50	USD	     1	         11	        1.666,50	          0	            0,00
	8300	8330	0001	2203488	NB	13.09.2024	9999       HILTI	4537360224	     12	M	     12	M	L11	        26,13	USD	     1	         12	          313,56	          0	            0,00
	8300	8330	0001	2203491	NB	13.09.2024	9999       HILTI	4537360225	    165	M	    165	M	L11	        48,84	USD	     1	        165	        8.058,60	          0	            0,00
	8300	8330	0001	2203495	NB	13.09.2024	9999       HILTI	4537360226	     69	M	     69	M	L11	        95,87	USD	     1	         69	        6.615,03	          0	            0,00
	8300	8330	0001	2203504	NB	13.09.2024	9999       HILTI	4537360227	     16	PC	     16	PC	L11	         5,10	USD	     1	         16	           81,60	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537360228	    874	PC	    874	PC	L11	        31,47	USD	   100	        874	          275,05	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537360230	    154	PC	    154	PC	L11	        31,47	USD	   100	        154	           48,46	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537360231	     20	PC	     20	PC	L11	        31,47	USD	   100	         20	            6,29	          0	            0,00
	8300	8330	0001	2205246	NB	13.09.2024	9999       HILTI	4537360232	    264	PC	    264	PC	L11	         8,09	USD	    10	        264	          213,58	          0	            0,00
	8300	8330	0001	2205246	NB	13.09.2024	9999       HILTI	4537360233	    242	PC	    242	PC	L11	         8,09	USD	    10	        242	          195,78	          0	            0,00
